athlete_certification_key,person_key,club_key,certification_type_key,person_type_key,has_certificate
1,1,174,1,1,1
2,3,174,1,1,1
3,4,174,1,1,1
4,5,174,1,1,1
5,6,174,1,1,1
6,7,174,1,1,1
7,8,174,1,1,1
8,9,174,1,1,1
9,10,174,1,1,1
10,11,174,1,1,1
11,17,380,1,1,1
12,20,380,1,1,1
13,24,380,1,1,1
14,28,380,1,1,1
15,29,380,1,1,1
16,30,380,1,1,1
17,31,380,1,1,1
18,32,380,1,1,1
19,33,419,1,1,1
20,34,419,1,1,1
21,41,419,1,1,1
22,42,419,1,1,1
23,44,419,1,1,1
24,48,419,1,1,1
25,69,419,1,1,1
26,82,419,1,1,1
27,93,149,1,1,1
28,102,149,1,1,1
29,105,149,1,1,1
30,108,149,1,1,1
31,110,149,1,1,1
32,115,149,1,1,1
33,116,149,1,1,1
34,118,149,1,1,1
35,121,149,1,1,1
36,124,149,1,1,1
37,126,149,1,1,1
38,128,149,1,1,1
39,130,149,1,1,1
40,140,149,1,1,1
41,151,149,1,1,1
42,154,149,1,1,1
43,155,149,1,1,1
44,156,149,1,1,1
45,157,149,1,1,1
46,160,149,1,1,1
47,161,149,1,1,1
48,163,149,1,1,1
49,166,85,1,1,1
50,168,85,1,1,1
51,172,85,1,1,1
52,173,85,1,1,1
53,176,85,1,1,1
54,178,85,1,1,1
55,179,85,1,1,1
56,183,85,1,1,1
57,190,85,1,1,1
58,192,85,1,1,1
59,197,52,1,1,1
60,198,52,1,1,1
61,201,52,1,1,1
62,202,52,1,1,1
63,203,52,1,1,1
64,205,52,1,1,1
65,207,52,1,1,1
66,213,52,1,1,1
67,214,52,1,1,1
68,216,52,1,1,1
69,217,239,1,1,1
70,218,239,1,1,1
71,219,239,1,1,1
72,220,239,1,1,1
73,221,239,1,1,1
74,224,239,1,1,1
75,225,239,1,1,1
76,226,239,1,1,1
77,227,239,1,1,1
78,228,239,1,1,1
79,229,239,1,1,1
80,230,239,1,1,1
81,231,239,1,1,1
82,232,239,1,1,1
83,233,239,1,1,1
84,234,239,1,1,1
85,236,239,1,1,1
86,238,239,1,1,1
87,239,239,1,1,1
88,240,239,1,1,1
89,242,239,1,1,1
90,243,239,1,1,1
91,244,239,1,1,1
92,247,239,1,1,1
93,248,239,1,1,1
94,250,239,1,1,1
95,252,239,1,1,1
96,253,239,1,1,1
97,255,239,1,1,1
98,258,239,1,1,1
99,259,239,1,1,1
100,263,379,1,1,1
101,267,379,1,1,1
102,268,379,1,1,1
